stadtteil,ehemalig,heutig,schl_nr,datum_praezision,quelle,zusatz,eindeutig
Kray,Kreftenscheerstraße,Achtermbergbredde,00004,tag,Dickhoff 2015,,ja
Kray,Achtermbergstraße,Achternbergstraße,00005,tag,Dickhoff 2015,(Umb.),ja
Bergerhausen,Ludwigstraße,Adelgundenweg,00009,tag,Dickhoff 2015,,ja
Kray,Am Knottenberg,Äbtissinsteig,00016,tag,Dickhoff 2015,(tlw.),ja
Steele,Aastraße,Ahestraße,00020,tag,Dickhoff 2015,,ja
Ostviertel,Alfredistraße,Alfrediquelle,00033,tag,Dickhoff 2015,(tlw.),ja
Fischlaken,Hermannstraße,Alinenhöhe,00037,tag,Dickhoff 2015,,ja
Bergeborbeck,Bottroper Straße,Alte Bottroper Straße,00569,tag,Dickhoff 2015,(tlw.),ja
Haarzopf,Hatzper Straße,Alte Hatzper Straße,00253,tag,Dickhoff 2015,(tlw.),ja
Burgaltendorf,Hauptstraße,Alte Hauptstraße,01428,tag,Dickhoff 2015,,ja
Haarzopf,Raadter Straße,Alte Raadter Straße,00252,tag,Dickhoff 2015,(tlw.),ja
Steele,Königstraße,Alte Zeilen,00054,tag,Dickhoff 2015,(Verl.),ja
Altendorf,Thomaestraße,Altendorfer Straße,00050,tag,Dickhoff 2015,(tlw. Umb.),ja
Holsterhausen,Alfredspark,Am Alfredspark,00057,tag,Dickhoff 2015,,ja
Kettwig,Hochstraße,Am Bilstein,03601,tag,Dickhoff 2015,(tlw.),nein
Fulerum,Lührmannstraße,Am Ehrenfriedhof,00074,tag,Dickhoff 2015,(tlw.),ja
Heisingen,Sonnenstraße,Am Herrenbusch,00091,jahr,Dickhoff 2015,(tlw.),ja
Fischlaken,Am hohen Kreuz,Am Hohen Kreuz,00093,tag,Dickhoff 2015,,ja
Bergerhausen,Am krausen Bäumchen,Am Krausen Bäumchen,00102,tag,Dickhoff 2015,(Verl.),ja
Bedingrade,Bedingrader Straße,Am Kreyenkrop,00208,tag,Dickhoff 2015,(tlw.),ja
Leithe,Lilienstraße,Am Lehmberg,00107,tag,Dickhoff 2015,,ja
Fischlaken,Peterstraße,Am Lünink,00108,tag,Dickhoff 2015,,ja
Kettwig,Ruhrstraße,Am Mühlengraben,03608,vor,Dickhoff 2015,(tlw.),ja
Südostviertel,Metzer Straße,Am Ostpark,00209,tag,Dickhoff 2015,(tlw.),ja
Frohnhausen,Frohnhauser Straße,Am Richtenberg,00238,tag,Dickhoff 2015,(tlw.),nein
Frohnhausen,Riehlstraße,Am Riehlpark,00574,tag,Dickhoff 2015,(tlw.),ja
Bredeney,Eckbertstraße,Am Tann,00134,tag,Dickhoff 2015,(tlw.),ja
Stadtwald,Wittekindstraße,Am Uhlenkrug,00255,tag,Dickhoff 2015,(tlw.),ja
Stadtkern,Hochstraße,Am Waldthausenpark,00141,tag,Dickhoff 2015,,ja
Stadtwald,Am Hang,Am Wiedenfeld,03552,tag,Dickhoff 2015,,ja
Schönebeck,Schacht-Kronprinz-Straße,An der Schlucht,03560,tag,Dickhoff 2015,(tlw.),ja
Kettwig,Kaiser-Wilhelm-Platz,An der Seilerei,03625,vor,Dickhoff 2015,,ja
Werden,Ringstraße,An der Stadtmauer,02605,tag,Dickhoff 2015,,ja
Südviertel,Freiligrathstraße,An St. Ignatius,00173,tag,Dickhoff 2015,,ja
Nordviertel,Niederstraße,An St. Marien,00175,tag,Dickhoff 2015,(tlw.),ja
Rüttenscheid,Laurastraße,Angelikastraße,03551,tag,Dickhoff 2015,,ja
Kupferdreh,Schulstraße,Anstockstraße,00179,tag,Dickhoff 2015,,ja
Stoppenberg,Lohstraße,Arendahls Wiese,00189,tag,Dickhoff 2015,(tlw.),ja
Bochold,Milendonkweg,Asbeckstraße,00195,tag,Dickhoff 2015,(tlw.),ja
Werden,Barkhovenstraße,Auf dem Sutan,00207,tag,Dickhoff 2015,,ja
Frillendorf,Terbovenstraße,Auf der Litten,00221,tag,Dickhoff 2015,,ja
Frillendorf,Böndgenstraße,Auf'm Böntchen,00227,tag,Dickhoff 2015,,ja
Werden,Helmesberg,Auf'm Steinacker,00234,tag,Dickhoff 2015,,nein
Katernberg,Schladebach,August-Schmidt-Straße,01249,tag,Dickhoff 2015,,ja
Karnap,Gerhardstraße,Batenbrocker Straße,00295,tag,Dickhoff 2015,,ja
Werden,Helmesberg,Beckhansweg,00305,tag,Dickhoff 2015,,nein
Kray,E-Straße,Beekerwerth,00313,jahr,Dickhoff 2015,,ja
Katernberg,Beisenstraße,Beisenstraße,00318,tag,Dickhoff 2015,(tlw.),ja
Frohnhausen,Kruppstraße,Benno-Strauß-Straße,00515,tag,Dickhoff 2015,(tlw.),nein
Bredeney,Rausenbergerstraße,Benzstraße,00326,tag,Dickhoff 2015,(tlw.),ja
