schl_nr,stadium,gueltig_ab,datum_praezision,name,ist_urspruenglich
00001,1,1898,vor,Victoriastraße (tlw.),falsch
00001,2,1902-05-16,tag,Aachener Straße,falsch
00001,3,1909-03-05,tag,Aachener Straße (Verl.),falsch
00002,1,1959-02-18,tag,Abteistraße,falsch
00003,1,1902-05-16,tag,Achenbachstraße,falsch
00003,2,1922-09-13,tag,Achenbachhang,falsch
00004,1,1921-09-26,tag,Kreftenscheerstraße,falsch
00004,2,1937-11-20,tag,Achtermbergbredde,falsch
00005,1,1896-11-01,tag,Achternbergstraße,falsch
00005,2,1931-12-11,tag,Achtermbergstraße (Umb.),falsch
00005,3,1968-11-21,tag,Achternbergstraße (Umb.),falsch
00006,1,1937-11-20,tag,Achthausen,falsch
00007,1,1955-01-19,tag,Achtmorgenfeld,falsch
00008,1,1895-11-28,tag,Ackerstraße,falsch
00008,2,1897-01-22,tag,Bornstraße,falsch
00008,3,1915-07-09,tag,Ackerstraße (Verl),falsch
00009,1,1903-02-04,tag,Ludwigstraße,falsch
00009,2,1937-11-20,tag,Adelgundenweg,falsch
00009,3,1959-09-08,tag,Adelgundenweg (Verl.),falsch
00010,1,1874,vor,Adelkampstraße,falsch
03566,1,1925-03-24,tag,Adlerstraße,falsch
03566,2,1976-12-14,tag,Adierstraße,falsch
00012,1,1889-07-05,tag,Am Stadtgarten,falsch
00012,2,1933-05-08,tag,Admiral-Scheer-Straße,falsch
03556,1,1971-09-22,tag,Adolf-Hopmann-Straße,falsch
00013,1,1929-01-10,tag,Adolf- Rath-Straße,falsch
00014,1,1914-10-09,tag,Adolf-Schmidt-Straße,falsch
00015,1,1897-09-06,tag,Adolfstraße,falsch
00016,1,1890-11-18,tag,Knottenberg (tIw),falsch
00016,2,1890-11-18,tag,Eickenscheider Weg (tlw.),falsch
00016,3,1894-05-09,tag,Knottenbergstraße,falsch
00016,4,1905,jahr,Moitkestraße (tlw.),falsch
00016,5,1909-03-26,tag,Stoppenberger Straße,falsch
00016,6,1929-12-12,tag,Am Knottenberg (tlw.),falsch
00016,7,1937-11-20,tag,Äbtissinsteig,falsch
00017,1,1904-02-04,tag,Ägidiusstraße,falsch
00018,1,1957-12-12,tag,Agirstraße,falsch
00019,1,1909-11-26,tag,Agnesstraße,falsch
00020,1,1890-11-18,tag,Aastraße,falsch
00020,2,1937-11-20,tag,Ahestraße,falsch
00021,1,1903,vor,Heinrichstraße,falsch
00021,2,1903-03-12,tag,Ahnewinkelstraße,falsch
00021,3,1903-03-12,tag,Ahnewinkelstraße (Verl),falsch
00021,4,1922,vor,Friedhofsweg (Umb.),falsch
00021,5,1934-01-12,tag,Ahnewinkelstraße (Verl),falsch
00022,1,1904-02-04,tag,Bergisch-Märkische Straße,falsch
00022,2,1910-09-16,tag,Ahornstraße,falsch
00023,1,1935-06-03,tag,Ahornzweig,falsch
00024,1,1910-09-16,tag,Ahrfeldstraße,falsch
00029,1,1963-12-17,tag,Aisthang,falsch
03652,1,1937,jahr,Fichtestraße,falsch
03652,2,1978-04-07,tag,Akademiestraße,falsch
00025,1,1860,jahr,Akazienaltee,falsch
00026,1,1948-12-14,tag,Akstraße,falsch
00027,1,1896-08-14,tag,Aktienstraße,falsch
00028,1,1915-07-06,tag,Albermannstraße,falsch
02536,1,1993-11-09,tag,Albertine-Badenberg-Weg,falsch
01129,1,1995-11-28,tag,Albert-Schmidt- Weg,falsch
00058,1,1966-12-14,tag,Albert-Schweitzer-Straße,falsch
00030,1,1897-09-06,tag,Albrechtstraße,falsch
00031,1,,unbekannt,Schachtstraße,wahr
00031,2,1902-05-16,tag,Aldegreverstraße,falsch
00243,1,1965-01-21,tag,Aldenhofweg,falsch
00032,1,1897-09-06,tag,Alexanderstraße,falsch
01125,1,1965-02-17,tag,Waldthausenbrücke,falsch
01125,2,1994-08-17,tag,Alfred- Herrhausen-Brücke,falsch
00033,1,1868-01-17,tag,Alfredistraße (tiw.),falsch
00033,2,1940-06-10,tag,Alfrediquelle,falsch
00034,1,1868-01-17,tag,Alfredistraße,falsch
03269,1,1984-06-22,tag,Alfred-Neuse-Weg,falsch
00035,1,1958-07-02,tag,Alfred- Pott-Weg,falsch
00036,1,1897-09-06,tag,Alfredstraße,falsch
00530,1,1978-12-21,tag,Alfried-Krupp-Straße,falsch
00037,1,1922-06-02,tag,Hermannstraße,falsch
00037,2,1937-11-20,tag,Alinenhöhe,falsch
00038,1,1920-10-01,tag,Allbauweg,falsch
00039,1,1904-11-18,tag,Alleestraße,falsch
00040,1,1903-02-04,tag,Idastraße,falsch
00040,2,1910-09-16,tag,Allerstraße,falsch
00040,3,1937-11-20,tag,Weserstraße,falsch
00040,4,1945-05-15,tag,Allerstraße,falsch
00041,1,1897-09-06,tag,Amalienstraße,falsch
00041,2,1906-01-26,tag,Almastraße,falsch
00043,1,1938-10-21,tag,Alsenplatz,falsch
00569,1,1927-08-09,tag,Bottroper Straße (tlw.),falsch
00569,2,1980-08-20,tag,Alte Bottroper Straße,falsch
00044,1,1936-01-15,tag,Alte Eichen,falsch
00253,1,1911-11-21,tag,Haarzopfer Straße,falsch
00253,2,1915-07-09,tag,Hatzper Straße (tIw.),falsch
00253,3,1968-09-18,tag,Alte Hatzper Straße,falsch
01428,1,1911-06-16,tag,Hauptstraße,falsch
01428,2,1978-11-23,tag,Alte Hauptstraße,falsch
00045,1,1892-03-29,tag,Kirchstraße (tlw.),falsch
00045,2,1904-03-21,tag,Alte Kirchstraße,falsch
00045,3,1955-01-19,tag,Alte Kirchstraße (Verl.),falsch
00045,4,1995-09-20,tag,Alte Kirchstraße (Verl.),falsch
00046,1,1903-03-12,tag,Alte Landstraße,falsch
00252,1,1911-11-21,tag,Raadter Straße (tiw.),falsch
00252,2,1968-11-21,tag,Alte Raadter Straße,falsch
00054,1,1890-11-18,tag,Königstraße,falsch
00054,2,1908-02-27,tag,Königstraße (Verl.),falsch
00054,3,1937-11-20,tag,Alte Zeilen,falsch
00047,1,1929-07-26,tag,Altenau,falsch
00048,1,1953-03-03,tag,Altenbergmühle,falsch
00049,1,1895-01-04,tag,Altenbergstraße,falsch
00049,2,1898-03-11,tag,Yorckstraße,falsch
00049,3,1931-12-11,tag,Altenbergstraße (Verl.),falsch
00050,1,1883,jahr,Limbecker Chaussee,falsch
00050,2,1901-12-04,tag,Altendorfer Straße,falsch
00050,3,1933-05-08,tag,Thomaestraße (tiw,falsch
00050,4,1945-05-15,tag,Altendorfer Straße (tw,falsch
00050,5,1946-03-27,tag,Ernst-Thälmann-Straße (Umb.),falsch
00050,6,1950-10-19,tag,Altendorfer Straße (Verl),falsch
00051,1,1898,vor,Rathausplatz,falsch
00051,2,1902-05-16,tag,Altendorfplatz,falsch
00052,1,1922-09-13,tag,Langenhorster Platz,falsch
00052,2,1936-01-15,tag,Altenessener Markt,falsch
