schl_nr,buchseite,feld,wert_parser,wert_qwen,wert_mistral,status_parser,einig,korrektur,beleg
00005,23,lemma,Achternbergstraße,Achtermbergstraße,Achtermbergstraße,automatisch,beide,,
00005,23,stadium_1_name,Achternbergstraße,Achtermbergstraße,Achtermbergstraße,automatisch,beide,,
00005,23,stadium_3_name,Achternbergstraße (Umb.),Achtermbergstraße (Umb.),Achtermbergstraße (Umb.),automatisch,beide,,
001321,43,eintrag,,Am Stadtgarten,Am Stadtgarten,,beide,,
00303,63,namensgruppe,Industrie und Wirtschaft,Industrie,Industrie,automatisch,beide,,
00355,70,lemma,Bewerungestraße,Bewerungstraße,Bewerungstraße,geprueft,beide,,
00355,70,stadium_2_name,Bewerungestraße,Bewerungstraße,Bewerungstraße,geprueft,beide,,
00401,74,stadium_1_datum,1953-03-03,03. März (nicht normalisierbar),03. März (nicht normalisierbar),geprueft,beide,,
00481,84,namensgruppe,"Person, Mann, Deutscher, Klemptnermeister","Person, Mann, Deutscher, Klempnermeister","Person, Mann, Deutscher, Klempnermeister",geprueft,beide,,
00525,339,lemma,Wallmannaue,Wallmannau,Wallmannau,automatisch,beide,,
00525,339,stadium_1_name,Wallmannaue,Wallmannau,Wallmannau,automatisch,beide,,
00595,91,stadium_3_name,Dahlhauser Straße,Schottländerweg,Schottländerweg,unsicher,beide,,
00922,121,lemma,Friesenaue,Friesenau,Friesenau,automatisch,beide,,
00922,121,stadium_1_name,Friesenaue,Friesenau,Friesenau,automatisch,beide,,
01015,127,stadium_1,vor 1895 Gerlingplatz,"(urspr., kein Datum) Gerlingswiese","(urspr., kein Datum) Gerlingswiese",geprueft,beide,,
01104,136,stadium_1_datum,1892-03-29,29. (nicht normalisierbar),29. (nicht normalisierbar),geprueft,beide,,
01143,213,namensgruppe,"Person, Mann, Deutscher, Professor , Choreograph, Tanzpädagoge","Person, Mann, Deutscher, Professor, Choreograph, Tanzpädagoge","Person, Mann, Deutscher, Professor, Choreograph, Tanzpädagoge",automatisch,beide,,
01216,146,namensgruppe,Lehngut,Lehnsgut,Lehnsgut,geprueft,beide,,
01217,146,namensgruppe,Lehngut,Lehnsgut,Lehnsgut,geprueft,beide,,
01273,155,stadium_1_datum,1910,etwa 1910/11 (eingeschränkt lesbar),etwa 1910/11 (eingeschränkt lesbar),geprueft,beide,,
01392,170,stadium_1_datum,1941-05-14,14. Mai (nicht normalisierbar),14. Mai (nicht normalisierbar),geprueft,beide,,
01439,154,stadium_2_name,Am Kreuz (tlw.),Am Kreuz (tw.),Am Kreuz (tw.),geprueft,beide,,
01603,227,eintrag,,Luxemburger Straße,Luxemburger Straße,,beide,,
01632,187,verweis_auf,Koopmanns Hude,,,unsicher,beide,,
01637,188,lemma,Kamisheide,Kamischeide,Kamischeide,automatisch,beide,,
01637,188,stadium_1_name,Kamisheide,Kamischeide,Kamischeide,automatisch,beide,,
01655,189,eintrag,,Kappertsiepen,Kappertsiepen,,beide,,
01666,191,lemma,Karolienenstraße,Karolinenstraße,Karolinenstraße,automatisch,beide,,
