schl_nr,buchseite,feld,wert_parser,wert_qwen,wert_mistral,status_parser,einig,korrektur,beleg,grund
00010,24,lemma,Adelkampstraße,Adelkampstraße,Adelkampstraße,unsicher,keines,,,Randzeichen entfernt
00010,24,stadtteile,Frohnhausen,Frohnhausen,Frohnhausen,unsicher,keines,,,Randzeichen entfernt
00010,24,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Randzeichen entfernt
00010,24,namensgruppe,"Essener Geschichte und Örtlichkeit, Kotten","Essener Geschichte und Örtlichkeit, Kotten","Essener Geschichte und Örtlichkeit, Kotten, vor 1874: Adelkampstraße",unsicher,eines,,,Randzeichen entfernt
00010,24,verweis_auf,,,,unsicher,keines,,,Randzeichen entfernt
00010,24,stadium_1_datum,vor 1874,vor 1874,"(urspr., kein Datum)",unsicher,eines,,,Randzeichen entfernt
00010,24,stadium_1_name,Adelkampstraße,Adelkampstraße,Adelkamp,unsicher,eines,,,Randzeichen entfernt
00010,24,stadium_1_urspruenglich,falsch,falsch,wahr,unsicher,eines,,,Randzeichen entfernt
00077,34,lemma,Am Freistein,Am Freistein,Eickelkamp,unsicher,eines,,,Datum: Komma nach Tag
00077,34,stadtteile,Nordviertel,Nordviertel,Steele,unsicher,eines,,,Datum: Komma nach Tag
00077,34,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum: Komma nach Tag
00077,34,namensgruppe,Lagebezeichnung,Lagebezeichnung,Flurname,unsicher,eines,,,Datum: Komma nach Tag
00077,34,verweis_auf,,,,unsicher,keines,,,Datum: Komma nach Tag
00077,34,stadium_1_datum,1868-01-17,1868-01-17,1868-01-17,unsicher,keines,,,Datum: Komma nach Tag
00077,34,stadium_1_name,Am Freistein,Am Freistein,Am Freistein,unsicher,keines,,,Datum: Komma nach Tag
00077,34,stadium_2_datum,1892-03-29,1892-03-29,1890-11-18,unsicher,eines,,,Datum: Komma nach Tag
00077,34,stadium_2_name,Feldstraße,Feldstraße,Elisenstraße,unsicher,eines,,,Datum: Komma nach Tag
00077,34,stadium_3_datum,1933-05-08,1933-05-08,1892-03-29,unsicher,eines,,,Datum: Komma nach Tag
00077,34,stadium_3_name,Am Freistein (Verl.),Am Freistein (Verl.),Feldstraße,unsicher,eines,,,Datum: Komma nach Tag
00117,41,lemma,Am Ringofen,Am Ringofen,Am Ringofen,unsicher,keines,,,Datum: Komma nach Tag
00117,41,stadtteile,Bergeborbeck,Bergeborbeck,Bergeborbeck,unsicher,keines,,,Datum: Komma nach Tag
00117,41,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum: Komma nach Tag
00117,41,namensgruppe,Lagebezeichnung,Lagebezeichnung,Lagebezeichnung,unsicher,keines,,,Datum: Komma nach Tag
00117,41,verweis_auf,,,,unsicher,keines,,,Datum: Komma nach Tag
00117,41,stadium_1_datum,1959-09-08,1959-09-08,1959-09-08,unsicher,keines,,,Datum: Komma nach Tag
00117,41,stadium_1_name,Am Ringofen,Am Ringofen,Am Ringofen,unsicher,keines,,,Datum: Komma nach Tag
00238,41,lemma,Am Richtenberg,Am Richtenberg,Am Richtenberg,unsicher,keines,,,
00238,41,stadtteile,Frohnhausen,Frohnhausen,Frohnhausen,unsicher,keines,,,
00238,41,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,
00238,41,namensgruppe,Lagebezeichnung,Lagebezeichnung,Lagebezeichnung,unsicher,keines,,,
00238,41,verweis_auf,,,,unsicher,keines,,,
00238,41,stadium_1_datum,1901-12-13,1901-12-13,1901-12-13,unsicher,keines,,,
