lemma,schl_nr,grund
Ahnewinkelstraße - Hof Ahnewinkel Akademiestraße,03652,Alphabet
a _ Alfred-Herrhausen-Brücke,01125,Alphabet
43 ff Bahnstraße,00278,Alphabet
"[sie > °"" sr $ Bergheimer Steig",00331,Alphabet
Ben RN RAN) gs das Birkmannsweg - Hof Birkmann Birkmannsweg,00366,Alphabet
Brinkerplatz,00448,Alphabet
Burgplatz,00496,Alphabet
De-Wolff-Straße,00621,Alphabet
Diether-Krebs-Platz,00976,Alphabet
BDudenstraße,00674,Alphabet
Emil-Kemper-Straße,03647,Alphabet
Ernst-Tengelmann-Ring,00810,Alphabet
Franz-Fischer-Weg,00921,Alphabet
Freiherr-vom-Stein-Straße,00901,Alphabet
DEEP BE \ Kr Be [m Graffweg - um 1935 Graf-Bernadotte-Straße,01063,Alphabet
Dezember 1830 Grieperstraße,01083,Alphabet
Gustav-Streich-Straße,01128,Alphabet
Hans-Böckler-Straße,01187,Alphabet
Haus-Berge-Straße,01214,Alphabet
Haus-Horl-Straße,01218,Alphabet
De 3 Heckstraße - Hecktor Heckhülsenring,01225,Alphabet
Heinrich-Strunk-Straße,01253,Alphabet
Helen-Keller-Straße,01439,Alphabet
Helmut-Werner-Weg,00715,Alphabet
Henri-Dunant-Straße,01426,Alphabet
25ff Hermannstraße,01282,Alphabet
Auf'm Höltering) Hövelstraße,01334,Alphabet
auch - entstellt - Hundsiepen (1826) Hunsrückstraße,01415,Alphabet
Höfe und ihre Aufsitzer die Schreibweise mit „v“ Im Hülsfeld,01474,Alphabet
Jacob-Weber-Straße,01566,Alphabet
Kaiser-Otto-Platz,01621,Alphabet
60 ff Kastanienallee,01670,Alphabet
ckuhl (wohl eine Verschreibung) und Kickuhlskuhle Kiekenberg,01702,Alphabet
ern von der Heiligen Elisabeth zu Essen-(Schuir) Klarastraße,01718,Alphabet
Köln-Mindener-Straße,01762,Alphabet
Kreuzeskirchstraße,01866,Alphabet
ch - Hof Lutterbeck Luziusstroße - Luciuskirche Luziusstraße,02023,Alphabet
Kruppsche Margrefstraße,02076,Alphabet
Maria-Weber-Weg,00959,Alphabet
Martin-Vollmar-Straße,03286,Alphabet
Neulengrund - Neulenhof Neuweselstraße,02245,Alphabet
deutet also so viel wie „das Licht des Nordens“ Norderneyweg,02283,Alphabet
e sowie Generaladjutant Kaiser Wilhelms I. Oberscheidtstraße,02318,Alphabet
Pastor-Fliedner-Weg,02390,Alphabet
Ill. Ruschenfeld,02670,Alphabet
N) Saal,02710,Alphabet
ne eh Schloßstraße - Wasserschloss Borbeck Schliemannstraße,03035,Alphabet
a ı Schmettaustraße,02791,Alphabet
I. Schnieringstraße,02797,Alphabet
19874 (Große Schopenhauerweg,02872,Alphabet
Schulte-Pelkum-Straße,02837,Alphabet
In der Nähe der Arminiusgarten! Sigsfeldstraße,02874,Alphabet
Steiler Garten,02936,Alphabet
& Steinmetzstraße,02948,Alphabet
I. Stiege,02960,Alphabet
Ill. Stiege,02962,Alphabet
Ten-Hövel-Weg,03114,Alphabet
I. Terwestenweg,03105,Alphabet
Ill. Terwestenweg,03107,Alphabet
Tholstraße - Hof Thol Thusneldastraße,03071,Alphabet
Treidelplatz,02051,Alphabet
Velberter Sträßchen,03203,Alphabet
riahain - Ehemalige Zeche Victoria Mathias 1920 Victoriahain,02530,Alphabet
Wäaldlehne,03301,Alphabet
