schl_nr,lemma,stadtteile,strassenklasse,namensgruppe,verweis_auf,buchseite,status
00001,Aachener Straße,Frohnhausen,Gemeindestraße,Stadt und Ort,,23,automatisch
00002,Abteistraße,Werden,Bundesstraße,Lagebezeichnung,,23,automatisch
00003,Achenbachhang,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Maler",,23,automatisch
00004,se Da Achternbergstraße - Haus Achternberg Achtermbergbredde,Kray,Gemeindestraße,Flurname,,23,unsicher
00005,Achternbergstraße,Kray,Gemeindestraße,Rittersitz,,23,automatisch
00006,Achthausen,Frillendorf,Gemeindestraße,Lagebezeichnung,,23,automatisch
00007,Achtmorgenfeld,Schonnebeck,Gemeindestraße,Flurname,,24,automatisch
00008,Ackerstraße,Bedingrade; Gerschede,Gemeindestraße,Lagebezeichnung,,24,automatisch
00009,Adelgundenweg,Bergerhausen,Gemeindestraße,"Bergbau, Weiblicher Vorname",,24,automatisch
00010,Adelkampstraße,Frohnhausen,„ Gemeindestraße,"Essener Geschichte und Örtlichkeit, Kotten",,24,automatisch
03566,Adlerstraße,Leithe,Gemeindestraße,Bergbau,,24,automatisch
00012,Admiral-Scheer-Straße,Südviertel,Gemeindestraße,"Person, Mann, Deutscher, Admiral",,24,automatisch
03556,Adolf-Hopmann-Straße,Werden,Gemeindestraße,"Person, Mann, Deutscher, Tuchfabrikant, Beigeordneter",,24,automatisch
00013,Adolf-Rath-Straße,Margarethenhöhe,Gemeindestraße,"Person, Mann, Deutscher, Beigeordneter",,24,automatisch
00014,Adolf-Schmidt-Straße,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Kruppscher Beamter, Siedlung",,24,automatisch
00015,Adolfstraße,Rüttenscheid,Gemeindestraße,Männlicher Vorname,,24,automatisch
00016,Äbtissinsteig,Kray; Steele,Gemeindestraße,"Person, Frau, Deutsche, Abtissin",,25,automatisch
00017,Ägidiusstraße,Stadtwald; Bredeney,Gemeindestraße,"Person, Mann, Grieche, Kaufmann, Abt",An der Kluse,25,automatisch
00018,Ägirstraße,Altenessen-Nord,Gemeindestraße,Bergbau,,25,automatisch
00019,Agnesstraße,Rüttenscheid,Gemeindestraße,"Person, Frau, Italienerin, Heilige, Weiblicher Vorname",,25,automatisch
00020,Ahestraße,Steele,Gemeindestraße,Gewässer,,25,automatisch
00021,Ahnewinkelstraße,Karnap,Gemeindestraße,Hofname,,25,automatisch
00022,Ahornstraße,Stadtwald,Gemeindestraße,Botanik,Ahornzweig,25,automatisch
00023,Ahornzweig,Stadtwald,Gemeindestraße,Botanik,,25,automatisch
00024,Ahrfeldstraße,Bergerhausen,Gemeindestraße,Flurname,,25,automatisch
00029,Aisthang,Freisenbruch,Gemeindestraße,"Person, Mann, Österreicher, Minnesänger",,25,automatisch
03652,Ahnewinkelstraße - Hof Ahnewinkel Akademiestraße,Kettwig,Gemeindestraße,Lagebezeichnung,,25,unsicher
00025,Akazienallee,Stadtkern,Gemeindestraße,Essener Geschichte und Örtlichkeit,,26,automatisch
00026,Akstraße,Westviertel,Gemeindestraße,"Essener Geschichte und Ortlichkeit, Bergbau",,26,automatisch
00027,Aktienstraße,Bedingrade; Schönebeck,Landstraße,Bergbau,,26,automatisch
00028,Albermannstraße,Werden,Gemeindestraße,"Person, Mann, Deutscher, Bildhauer",,27,automatisch
02536,Albertine-Badenberg-Weg,Steele,Gemeindestraße,"Person, Frau, Deutsche, Lehrerin, Landtagsabgeordnete",,27,automatisch
01129,Albert-Schmidt-Weg,Vogelheim,Gemeindestraße,"Person, Mann, Deutscher, Pfarrer",,27,automatisch
00058,Albert-Schweitzer-Straße,Freisenbruch,Gemeindestraße,"Person, Mann, Franzose, Theologe, Organist, Philosoph, Arzt",,27,automatisch
00030,Albrechtstraße,Holsterhausen; Rüttenscheid,Gemeindestraße,Männlicher Vorname,,27,automatisch
00031,Aldegreverstraße,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Maler, Kupferstecher, Siegelschneider, Malerviertel-Holsterhausen",,27,automatisch
00243,Aldenhofweg,Katernberg,Gemeindestraße,Kotten,,27,automatisch
00032,Alexanderstraße,Rüttenscheid,Gemeindestraße,Männlicher Vorname,,27,automatisch
01125,a _ Alfred-Herrhausen-Brücke,Stadtkern,Gemeindestraße,"Person, Mann, Deutscher, Kaufmann, Direktor",,27,unsicher
00033,Alfrediquelle,Ostviertel,Gemeindestraße,Essener Geschichte und Örtlichkeit,,28,automatisch
00034,Alfredistraße,Stadtkern; Ostviertel,Kreisstraße,"Person, Mann, Deutscher, Bischof, Essener Geschichte und Örtlichkeit",,28,automatisch
03269,Ehemaliger Alfrediplatz mit Alfredibrunnen Alfred-Neuse-Weg,Haarzopf,Gemeindestraße,"Person, Mann, Deutscher, Pfarrer",,28,unsicher
00035,Alfred-Pott-Weg,Bredeney,Gemeindestraße,"Person, Mann, Deutscher, Chemiker, Ingenieur",,28,automatisch
00036,Alfredstraße,Rüttenscheid; Bredeney,Bundesstraße,"Person, Mann, Deutscher, Familie Krupp, Industrielter, Männlicher Vorname",,28,automatisch
00530,Alfried-Krupp-Straße,Rüttenscheid,Gemeindestraße,"Person, Mann, Deutscher, Familie Krupp, Industrieller",,28,automatisch
00037,Alinenhöhe,Fischlaken,Gemeindestraße,Bergbau,,29,automatisch
00038,Allbauweg,Huttrop,Gemeindestraße,Industrie und Wirtschaft,,29,automatisch
00039,Alleestraße,Freisenbruch,Gemeindestraße,,,29,automatisch
00040,Allerstraße,Bergerhausen,Gemeindestraße,Gewässer,,29,automatisch
00041,Almastraße,Rüttenscheid,Gemeindestraße,Weiblicher Vorname,,29,automatisch
00042,Aloisstraße,Fischlaken,Gemeindestraße,Männlicher Vorname,,29,unsicher
00043,Alsenplatz,Huttrop,Gemeindestraße,Kriegserinnerung,,29,automatisch
00569,Alte Bottroper Straße,Bergeborbeck,Kreisstraße; Hauptstraße,"Lagebezeichnung, zuvor: Blechstraße, zuvor: Auf dem Bleek",,29,unsicher
00044,Alte Eichen,Rellinghausen,Gemeindestraße,Botanik,,29,automatisch
00253,Alte Hatzper Straße,Haarzopf; Schuir,Gemeindestraße,Lagebezeichnung,Hatzper Straße,29,automatisch
01428,Alte Hauptstraße,Burgaltendorf,Landstraße,Lage-bezeichnung,,29,automatisch
00045,Alte Kirchstraße,Katernberg,Gemeindestraße,Kirche und Kloster,,29,automatisch
00046,Alte Landstraße,Karnap,Gemeindestraße,Lagebezeichnung,,30,automatisch
00252,Alte Raadter Straße,Haarzopf,Gemeindestraße,Lagebezeichnung,Raadter Straße,30,automatisch
00054,Alte Zeilen,Steele,Gemeindestraße,Essener Geschichte und Ortlichkeit,,30,automatisch
00047,Altenau,Margarethenhöhe,Gemeindestraße,Flurname,,30,automatisch
00048,Altenbergmühle,Nordviertel,Gemeindestraße,Mühle,,30,automatisch
00049,Altenbergstraße,Nordviertel,Gemeindestraße,Lehngut,,30,automatisch
00050,Altendorfer Straße,Altendorf; Bochold; Schönebeck; Westviertel,Bundesstraße; Landstraße,Lagebezeichnung,,30,automatisch
00051,Altendorfplatz,Frohnhausen,Gemeindestraße,"Lagebezeichnung, Platz",,30,automatisch
00052,Altenessener Markt,Altenessen-Süd,Gemeindestraße,Lagebezeichnung,,31,automatisch
00053,Altenessener Straße,Altenessen-Nord; Altenessen-Süd; Nordviertel; Stadtkern,Landstraße; Gemeindestraße,Lagebezeichnung,,31,automatisch
00055,Altmeyerstraße,Überruhr- Hinsel,Gemeindestraße,"Person, Mann, Deutscher, Mediziner",,31,automatisch
00056,Altstraße,Schönebeck,Gemeindestraße,Lagebezeichnung,,31,automatisch
01608,Aluminiumallee,Bergeborbeck,Gemeindestraße,Industrie und Wirtschaft,,31,automatisch
00057,Am Alfredspark,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Familie Krupp, Industrieller, Siedlung",,31,automatisch
01134,Am Alfredusbad,Bredeney,Gemeindestraße,Lagebezeichnung,,31,automatisch
00059,Am Ardey,Rellinghausen,Gemeindestraße,Geologie,Ardeyplatz,31,automatisch
01555,Am Bahnhof Altenessen,Altenessen-Süd,Gemeindestraße,Lagebezeichnung,,31,automatisch
00060,Am Bernewäldchen,Südviertel,Gemeindestraße,Lagebezeichnung,,31,automatisch
01550,Am Bienenstock,Katernberg,Gemeindestraße,Zoologie,,31,automatisch
03601,Am Bilstein,Kettwig,Gemeindestraße,Flurname,,32,automatisch
00833,Am Blambeckpark,Altendorf,Gemeindestraße,"Botanik, Park",,32,automatisch
00061,Am Bocklerbaum,Kray,Gemeindestraße,Lagebezeichnung,,32,automatisch
