schl_nr,lemma,status,buchseite,band,pdf_seite,haelfte,feld,wert,korrekt,korrektur
00001,Aachener Straße,automatisch,23,1,11,rechts,schl_nr,00001,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,lemma,Aachener Straße,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,stadtteile,Frohnhausen,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,strassenklasse,Gemeindestraße,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,namensgruppe,Stadt und Ort,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,verweis_auf,,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,stadium_1_datum,vor 1898,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,stadium_1_name,Victoriastraße (tlw.),ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,stadium_2_datum,1902-05-16,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,stadium_2_name,Aachener Straße,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,stadium_3_datum,1909-03-05,ja,
00001,Aachener Straße,automatisch,23,1,11,rechts,stadium_3_name,Aachener Straße (Verl.),ja,
00079,Am Gehölz,automatisch,34,1,17,links,schl_nr,00079,ja,
00079,Am Gehölz,automatisch,34,1,17,links,lemma,Am Gehölz,ja,
00079,Am Gehölz,automatisch,34,1,17,links,stadtteile,Margarethenhöhe,ja,
00079,Am Gehölz,automatisch,34,1,17,links,strassenklasse,Gemeindestraße,ja,
00079,Am Gehölz,automatisch,34,1,17,links,namensgruppe,Botanik,ja,
00079,Am Gehölz,automatisch,34,1,17,links,verweis_auf,,ja,
00079,Am Gehölz,automatisch,34,1,17,links,stadium_1_datum,1914-10-09,ja,
00079,Am Gehölz,automatisch,34,1,17,links,stadium_1_name,Am Gehölz,ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,schl_nr,00208,ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,lemma,Am Kreyenkrop,ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,stadtteile,Bedingrade,ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,strassenklasse,Landstraße,ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,namensgruppe,"Flurname, 08.10.1896: Rohrstraße",ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,verweis_auf,,ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,stadium_1_datum,1915-07-09,ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,stadium_1_name,Bedingrader Straße (tiw.),ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,stadium_2_datum,1967-05-03,ja,
00208,Am Kreyenkrop,unsicher,39,1,19,rechts,stadium_2_name,Am Kreyenkrop,ja,
00322,Bellenbergsteig,automatisch,65,1,32,rechts,schl_nr,00322,ja,
00322,Bellenbergsteig,automatisch,65,1,32,rechts,lemma,Bellenbergsteig,ja,
00322,Bellenbergsteig,automatisch,65,1,32,rechts,stadtteile,Heidhausen,ja,
00322,Bellenbergsteig,automatisch,65,1,32,rechts,strassenklasse,Gemeindestraße,ja,
00322,Bellenbergsteig,automatisch,65,1,32,rechts,namensgruppe,Familienname,ja,
00322,Bellenbergsteig,automatisch,65,1,32,rechts,verweis_auf,,ja,
00322,Bellenbergsteig,automatisch,65,1,32,rechts,stadium_1_datum,1936-08-05,ja,
00322,Bellenbergsteig,automatisch,65,1,32,rechts,stadium_1_name,Bellenbergsteig,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,schl_nr,00339,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,lemma,Berkenberg,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,stadtteile,Kray; Schonnebeck,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,strassenklasse,Gemeindestraße,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,namensgruppe,Flurname,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,verweis_auf,,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,stadium_1_datum,vor 1901,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,stadium_1_name,Hubertstraße,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,stadium_2_datum,1935-11-14,ja,
00339,Berkenberg,automatisch,67,1,33,rechts,stadium_2_name,Berkenberg,ja,
00364,Breukelmannhang,automatisch,80,1,40,links,schl_nr,00364,ja,
00364,Breukelmannhang,automatisch,80,1,40,links,lemma,Breukelmannhang,ja,
00364,Breukelmannhang,automatisch,80,1,40,links,stadtteile,Frintrop,ja,
