pdf	pdf_seite	schnitt_x	breite	talbreite	erkannt
Dickhoff_Essener Straßen_2015_1.pdf	1	1850	4005	658	ja
Dickhoff_Essener Straßen_2015_1.pdf	2	1897	4013	605	ja
Dickhoff_Essener Straßen_2015_1.pdf	3	2063	3942	131	ja
Dickhoff_Essener Straßen_2015_1.pdf	4	1741	3942	458	ja
Dickhoff_Essener Straßen_2015_1.pdf	5	2059	3942	136	ja
Dickhoff_Essener Straßen_2015_1.pdf	6	1747	3942	451	ja
Dickhoff_Essener Straßen_2015_1.pdf	7	1746	3942	454	ja
Dickhoff_Essener Straßen_2015_1.pdf	8	1745	3942	460	ja
Dickhoff_Essener Straßen_2015_1.pdf	9	1767	3967	447	ja
Dickhoff_Essener Straßen_2015_1.pdf	10	1770	3959	436	ja
Dickhoff_Essener Straßen_2015_1.pdf	11	1778	3967	429	ja
Dickhoff_Essener Straßen_2015_1.pdf	12	2075	3967	95	ja
Dickhoff_Essener Straßen_2015_1.pdf	13	2073	3967	94	ja
Dickhoff_Essener Straßen_2015_1.pdf	14	2078	3967	98	ja
Dickhoff_Essener Straßen_2015_1.pdf	15	2086	3975	104	ja
Dickhoff_Essener Straßen_2015_1.pdf	16	2083	3967	91	ja
Dickhoff_Essener Straßen_2015_1.pdf	17	2106	3984	92	ja
Dickhoff_Essener Straßen_2015_1.pdf	18	2123	3992	102	ja
Dickhoff_Essener Straßen_2015_1.pdf	19	2125	3992	102	ja
Dickhoff_Essener Straßen_2015_1.pdf	20	2138	4005	104	ja
Dickhoff_Essener Straßen_2015_1.pdf	21	2140	4000	112	ja
Dickhoff_Essener Straßen_2015_1.pdf	22	2131	4005	100	ja
Dickhoff_Essener Straßen_2015_1.pdf	23	2126	3992	101	ja
Dickhoff_Essener Straßen_2015_1.pdf	24	2135	4005	102	ja
Dickhoff_Essener Straßen_2015_1.pdf	25	2131	4000	103	ja
Dickhoff_Essener Straßen_2015_1.pdf	26	2097	3975	107	ja
Dickhoff_Essener Straßen_2015_1.pdf	27	2102	3984	107	ja
Dickhoff_Essener Straßen_2015_1.pdf	28	2108	3992	99	ja
Dickhoff_Essener Straßen_2015_1.pdf	29	2107	3992	95	ja
Dickhoff_Essener Straßen_2015_1.pdf	30	2108	3984	106	ja
Dickhoff_Essener Straßen_2015_1.pdf	31	2121	4000	106	ja
Dickhoff_Essener Straßen_2015_1.pdf	32	2100	4021	69	ja
Dickhoff_Essener Straßen_2015_1.pdf	33	2107	4030	72	ja
Dickhoff_Essener Straßen_2015_1.pdf	34	2110	4030	81	ja
Dickhoff_Essener Straßen_2015_1.pdf	35	2111	4038	86	ja
Dickhoff_Essener Straßen_2015_1.pdf	36	2128	4046	80	ja
Dickhoff_Essener Straßen_2015_1.pdf	37	2142	4055	90	ja
Dickhoff_Essener Straßen_2015_1.pdf	38	2133	4055	90	ja
Dickhoff_Essener Straßen_2015_1.pdf	39	2151	4125	102	ja
Dickhoff_Essener Straßen_2015_1.pdf	40	2145	4063	88	ja
Dickhoff_Essener Straßen_2015_1.pdf	41	2153	4071	94	ja
Dickhoff_Essener Straßen_2015_1.pdf	42	2031	4071	98	ja
Dickhoff_Essener Straßen_2015_1.pdf	43	2134	4071	92	ja
Dickhoff_Essener Straßen_2015_1.pdf	44	2018	4096	96	ja
Dickhoff_Essener Straßen_2015_1.pdf	45	1881	3855	83	ja
Dickhoff_Essener Straßen_2015_1.pdf	46	2127	4080	92	ja
Dickhoff_Essener Straßen_2015_1.pdf	47	2130	4088	87	ja
Dickhoff_Essener Straßen_2015_1.pdf	48	1945	3800	69	ja
Dickhoff_Essener Straßen_2015_1.pdf	49	1982	3846	77	ja
Dickhoff_Essener Straßen_2015_1.pdf	50	1956	3800	78	ja
Dickhoff_Essener Straßen_2015_1.pdf	51	1956	3800	90	ja
